id,stateAbbr,stateName,incomePerCapita,rank
0,US,United States,43735,
1,AL,Alabama,35926,42
2,AK,Alaska,49436,8
4,AZ,Arizona,36243,41
5,AR,Arkansas,35437,45
6,CA,California,46477,12
8,CO,Colorado,45775,16
9,CT,Connecticut,59687,1
10,DE,Delaware,44224,22
12,FL,Florida,41012,27
13,GA,Georgia,37449,40
15,HI,Hawaii,44767,20
16,ID,Idaho,34481,49
17,IL,Illinois,45832,15
18,IN,Indiana,38119,38
19,IA,Iowa,43935,23
20,KS,Kansas,43015,24
21,KY,Kentucky,35643,44
22,LA,Louisiana,40057,30
23,ME,Maine,40087,29
24,MD,Maryland,53816,5
25,MA,Massachusetts,55976,2
26,MI,Michigan,38291,36
27,MN,Minnesota,46925,11
28,MS,Mississippi,33657,50
29,MO,Missouri,39133,33
30,MT,Montana,38555,35
31,NE,Nebraska,45012,19
32,NV,Nevada,38221,37
33,NH,New Hampshire,49129,9
34,NJ,New Jersey,54987,3
35,NM,New Mexico,35682,43
36,NY,New York,53241,6
37,NC,North Carolina,37910,39
38,ND,North Dakota,54871,4
39,OH,Ohio,40057,30
40,OK,Oklahoma,40620,28
41,OR,Oregon,39166,32
42,PA,Pennsylvania,45083,18
44,RI,Rhode Island,45877,14
45,SC,South Carolina,35056,48
46,SD,South Dakota,45381,17
47,TN,Tennessee,38752,34
48,TX,Texas,42638,25
49,UT,Utah,35430,46
50,VT,Vermont,44545,21
51,VA,Virginia,48377,10
53,WA,Washington,46045,13
54,WV,West Virginia,35082,47
55,WI,Wisconsin,42121,26
56,WY,Wyoming,50567,7
11,DC,District of Columbia,74773,1
