id,stateAbbr,stateName,rank,corporateTaxRank,incomeTaxRank,salesTaxRank,unemploymentInsuranceTaxRank,propertyTaxRank
1,AL,Alabama,29,25,22,41,26,17
2,AK,Alaska,3,30,1,5,21,21
4,AZ,Arizona,24,22,19,49,9,6
5,AR,Arkansas,38,42,29,43,43,27
6,CA,California,48,35,50,40,13,13
8,CO,Colorado,18,15,16,44,33,12
9,CT,Connecticut,44,33,36,29,20,49
10,DE,Delaware,14,50,33,1,3,15
11,DC,District of Columbia,-42,-36,-34,-40,-27,-39
12,FL,Florida,4,17,1,17,37,20
13,GA,Georgia,39,9,42,35,45,31
15,HI,Hawaii,31,10,37,14,39,14
16,ID,Idaho,19,24,23,33,14,4
17,IL,Illinois,23,36,10,11,34,45
18,IN,Indiana,8,20,11,24,10,5
19,IA,Iowa,40,49,32,32,46,40
20,KS,Kansas,22,40,18,9,41,19
21,KY,Kentucky,28,29,30,9,28,23
22,LA,Louisiana,37,38,27,50,47,28
23,ME,Maine,34,45,26,10,48,41
24,MD,Maryland,41,19,45,8,29,42
25,MA,Massachusetts,25,39,13,18,12,46
26,MI,Michigan,13,11,15,7,18,26
27,MN,Minnesota,47,46,46,36,2,30
28,MS,Mississippi,20,13,21,28,42,35
29,MO,Missouri,17,3,28,23,31,8
30,MT,Montana,6,23,20,3,7,9
31,NE,Nebraska,27,31,24,26,32,39
32,NV,Nevada,5,4,1,39,16,7
33,NH,New Hampshire,7,48,9,2,6,43
34,NJ,New Jersey,50,43,48,47,1,50
35,NM,New Mexico,35,27,34,48,27,1
36,NY,New York,49,12,49,42,49,47
37,NC,North Carolina,15,7,14,31,35,32
38,ND,North Dakota,26,14,35,22,16,3
39,OH,Ohio,42,26,47,30,6,11
40,OK,Oklahoma,33,8,40,38,1,18
41,OR,Oregon,11,37,31,4,27,10
42,PA,Pennsylvania,32,47,17,25,50,38
44,RI,Rhode Island,45,34,38,27,49,44
45,SC,South Carolina,36,16,41,19,35,25
46,SD,South Dakota,2,1,1,34,40,22
47,TN,Tennessee,16,18,8,46,25,37
48,TX,Texas,10,41,6,37,15,34
49,UT,Utah,9,5,12,16,19,2
50,VT,Vermont,46,44,44,15,17,48
51,VA,Virginia,30,6,39,6,38,29
53,WA,Washington,12,28,6,45,23,24
54,WV,West Virginia,21,21,25,21,22,16
55,WI,Wisconsin,43,32,43,13,36,33
56,WY,Wyoming,1,1,1,12,30,36
