id,stateAbbr,stateName,debtPerCapita
0,US,United States,3594
1,AL,Alabama,1875
2,AK,Alaska,8432
4,AZ,Arizona,2070
5,AR,Arkansas,1334
6,CA,California,3962
8,CO,Colorado,3094
9,CT,Connecticut,8995
10,DE,Delaware,6219
12,FL,Florida,1934
13,GA,Georgia,1330
15,HI,Hawaii,5905
16,ID,Idaho,2262
17,IL,Illinois,4939
18,IN,Indiana,3434
19,IA,Iowa,2150
20,KS,Kansas,2358
21,KY,Kentucky,3407
22,LA,Louisiana,4017
23,ME,Maine,4045
24,MD,Maryland,4391
25,MA,Massachusetts,11352
26,MI,Michigan,3068
27,MN,Minnesota,2504
28,MS,Mississippi,2378
29,MO,Missouri,3195
30,MT,Montana,3508
31,NE,Nebraska,988
32,NV,Nevada,1294
33,NH,New Hampshire,6626
34,NJ,New Jersey,7215
35,NM,New Mexico,3466
36,NY,New York,6907
37,NC,North Carolina,1935
38,ND,North Dakota,2535
39,OH,Ohio,2863
40,OK,Oklahoma,2469
41,OR,Oregon,3462
42,PA,Pennsylvania,3678
44,RI,Rhode Island,9088
45,SC,South Carolina,3088
46,SD,South Dakota,4052
47,TN,Tennessee,953
48,TX,Texas,1495
49,UT,Utah,2428
50,VT,Vermont,5310
51,VA,Virginia,3389
53,WA,Washington,4370
54,WV,West Virginia,3970
55,WI,Wisconsin,4037
56,WY,Wyoming,1750
