id,stateAbbr,stateName,revenuePerCapita,rank
0,US,United States,5215.22801215543,
1,AL,Alabama,4618.08892682432,39
2,AK,Alaska,19685.81242883810,1
4,AZ,Arizona,4197.09106436969,46
5,AR,Arkansas,5815.91833705210,16
6,CA,California,5262.96427261762,26
8,CO,Colorado,4245.24422052888,45
9,CT,Connecticut,6823.97648955060,8
10,DE,Delaware,8127.58946959532,5
12,FL,Florida,3709.93142417558,49
13,GA,Georgia,3673.23972926767,50
15,HI,Hawaii,7210.80246401116,7
16,ID,Idaho,4468.71933453102,41
17,IL,Illinois,4739.56739160786,37
18,IN,Indiana,4853.14823313904,34
19,IA,Iowa,5948.68597619237,14
20,KS,Kansas,5235.59736642918,28
21,KY,Kentucky,5161.49651506780,29
22,LA,Louisiana,5521.99160936458,22
23,ME,Maine,5944.77480080791,15
24,MD,Maryland,5656.95464953278,20
25,MA,Massachusetts,6767.02959681953,10
26,MI,Michigan,5355.28976712285,25
27,MN,Minnesota,6369.35504591552,13
28,MS,Mississippi,5714.11598349184,19
29,MO,Missouri,4403.20748813978,43
30,MT,Montana,5717.92603185128,18
31,NE,Nebraska,4947.42518373967,33
32,NV,Nevada,4009.07873192700,48
33,NH,New Hampshire,4425.31186932093,42
34,NJ,New Jersey,5774.58024901800,17
35,NM,New Mexico,6783.95912600031,9
36,NY,New York,7605.12319385117,6
37,NC,North Carolina,4710.57480486700,38
38,ND,North Dakota,12339.62067889460,2
39,OH,Ohio,5138.54060466016,30
40,OK,Oklahoma,5452.10326171278,24
41,OR,Oregon,5587.09776092483,21
42,PA,Pennsylvania,5242.73848412489,27
44,RI,Rhode Island,6476.52715120579,12
45,SC,South Carolina,4521.21262040055,40
46,SD,South Dakota,4817.45282136363,36
47,TN,Tennessee,4247.46317486814,44
48,TX,Texas,4183.52876684619,47
49,UT,Utah,5000.67658688374,31
50,VT,Vermont,8740.30638598183,4
51,VA,Virginia,4841.14308613170,35
53,WA,Washington,4966.91386523554,32
54,WV,West Virginia,6627.21742943535,11
55,WI,Wisconsin,5493.18364312190,23
56,WY,Wyoming,10749.08198166060,3
